제목,날짜,작성일,작성자,댓글
"유승민, 김제동 책 꺼내며 ""사이비 진보가 헌법 가치 독점""",2021-05-06 17:01:00,2021-05-07 20:20:14,gaun****,살모사 는 이묵 이도 될수 없지요
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-14 09:54:30,okle****,나는 일곱살때 부터 대통령꿈 있었다~~~ 시뱅아
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 22:59:39,Chih****,악마 문재인 보다도 더한... 잡 놈이 유승민.
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 22:02:46,lmso****,"슴인아! 테스형이 말했다.""너 자신을 알라."" 대통령을 꿈꾼다고? 그건 니 맘이고.바큰혜 치마속에서 구케의원 3번했나? 대구 동갑에서. 義理 없는 사람이 또 국민까지 배신 하려고? 홍준표 대선 나올때 단일화 했으면 지금 나라가 이꼴은 안되고 모두가 행복할껀데 철없는 철수하고 너의 욕심 땜세 요꼴아이가? 김영감하고 의논 잘해봐라.대구는 오지마라."
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 21:43:41,Hyan****,불쌍한 인간.사주팔자나 관상어딜봐도 한사람도 가능성 있다는사람 없을걸.
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 21:32:22,name****,넌 겡상도 토종이야 넌 겡상도에서나 놀면 되는애야 넌 그게 한계여 아니? 너
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 19:15:20,rimb****,어린시절 꿈이 선생님이라서 교육부장관하는 사람도 있으니 젊은시절 꿈이 대통령이었으니 대통령 해도 되겠네. 잘 해 보시라. 그런데 그대가 잘 할 수 있을지? moon을 보니 그거 별로 좋은것 아닌것 같던데.
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 14:58:11,명****,꿈깨라. 영남지역의 배신자 감정부터 해소하라. 솔직히 그런 그릇이 되는지 의심스럽다. 더 성찰하고 자숙하세요 인티가 너무 많습니다. 대구지역의 민심부터 추스려야지요
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 14:56:57,dani****,관리자에 의해 삭제된 댓글입니다.
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 14:54:13,alut****,배신자가잘되는거봤냐?
"유승민 ""40대초부터 대통령 뜻…노무현도 1~2%서 시작했다""",2021-04-13 05:00:00,2021-04-13 14:40:09,ys12****,최순실하고 국정 소꿉놀이한 박근혜가 배신자 아녀? .......... 넘 나무라들 말아줘요......
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-05-01 02:16:39,shan****,숟가락 얹냐? 승민아!
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-28 10:16:00,HP30****,"중앙아 독자 우롱 좀 하지 마시길, 중앙독자를 어떻게 멀로 생각하고 이러시나?"
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-28 10:13:35,HP30****,이 땅이 오땅 한테 앵기면 가끔은 오땅이 죽는 수도 있다. 그러나 땅 잡고 죽으면 안되지라오. 다선끗짜리 잡으면 두끗 한테 눈치 긋발로 죽는 것은 많이 봤응게.
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-09 12:48:52,Luxy****,죽었다 깨어나도 쓰레기 같은 배신자 유승민 & 김무성은 절대 용서 못한다.
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-09 12:48:51,Luxy****,죽었다 깨어나도 쓰레기 같은 배신자 유승민 & 김무성은 절대 용서 못한다.
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-05 06:43:56,Chri****,"유승민, 유시민 ... 아주 이름만 들어도 구역질이 나는 이름들이다. 야 이 미친 놈아, 너같은 놈이 담배를 피우건, 마약을 해서 뒈 지 건 누구 눈하나나 깜짝을 한다고 숟가락들고 한 자리 낄려고 물구나무를 서냐? 넌 그저 대한민국이 회복되는 즉시로 광화문 이승만광장에 끌려나와 목이 잘려 효수될 놈이다. 엇다대고 3월 선거를 운운하느냐. 넌 그거 목을 늘이고 국민의 칼, 헌법의 칼, 대한민국의 칼을 받아야될 터이니, 그동안 버킷리스트나 충실히 채운 담에 목욕제계하고 기다리도록 하여라. 혹 칼로 목이 질겨서 잘 안 잘릴 때는, 거듭 말한다마는, 톱으로라도 썰어서 네놈의 더러운 목을 어깨로부터 분리시켜야된다고 모두를 벼르고 있다. 톱으로 써는 경우를 대비해서, 톱자루를 잡겠다는 지원자만도 수두룩하다는 것도 알아둬라. 천하에 못 된 반역 종자 잡종놈."
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-04 18:28:47,Hyun****,쓰레기 같은 종자
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-03 20:00:58,jjss****,"술 담배 ? / 처음 부터 아예 안 하면 , 대통령 되겠네 ????!!! 김 무승 이 하고 / 남자 끼리 키스 하는 장면을 매스콤에 내 보내지 마라 !!!!!!"
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-02 22:36:26,윤 ****,"중앙, 이놈 기사 제발 그만 올려라. 무슨 깜이되야 볼 생각이 나지 ."
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-02 15:03:22,hseo****,정권 바꾸려면 힘을 모을 생각을 해라. 안되는걸 자꾸 한다고 뭐가 나아지나?
유승민 “술 담배 끊고 대선 준비…윤석열도 함께 경쟁을”,2021-04-01 11:00:00,2021-04-02 14:01:05,JuYe****,제발 면상좀 안보게 꺼져주세요. 누가 당신을 찍는다고. 아직도 정신못차렸네
