제목,날짜,작성일,작성자,댓글
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-09 05:32:00,EURO FX,떡줄 사람들은 생각도 안하는데 지들끼리 김칫국부터 마시고 자빠졌네. 페미 키워서 남성인권 짓밟은 민주당은 페미표 10만표 가져가고 20 30 남성표 3백만표 날려먹었다. 아직도 사태 파악이 안되냐? 오늘도 매일같이 쏟아져 나오는 여성우대 정책. 국공립대 교수임용공고 내면서 여성만 응시할 자격이 있다는 나라. 이거 완전히 헌법위반 아니냐? 만약에 다른 부처에서 남성만 지원할 수 있다고 사람 뽑으면 어떻게 되겠냐? 이런 미친 페미정권을 언제까지 우리 남성들이 오냐오냐 하면서 봐줄거라 생각했냐? 민주당은 누가 나와도 절대로 표안준다. 윤석렬을 뽑아야 문재인이 감옥가기 때문에 악착같이 윤석렬한테 표줄거다. 이재명도 여성입대 청원에 대해 입에 거품을 물고 욕하두만. 민주당엔 희망이 없다.
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-09 04:15:00,최원진,"이재명, 이낙연, 정세균이 대선의 유력한 후보자라는 말에는 여론조사를 통해 각인되고 있다. 또한 이러한 각축전에서 야당 후보로 윤석열이 선두에 나서고 있다는 여론조사는 여러번 기사화되었다. 그래서 윤석열 전 검찰총장이 나오기를 희망하는 사람들이 많은 것도 사실이다. 하지만 결론을 미리 말하고 3파전으로 여론 몰이후 과반후 이상의 지지를 얻어 이재명 도지사가 될 것을 암시하는 기사는 삼가해 주시기 바랍니다."
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-09 01:05:00,야간비행,"누가 되든 문재인보다는 잘 할거다
라고 생각하면 완전 ㅈ된다.

누가 되든 박근혜보다는 잘 할거다
라고 생각했다 지금 ㅈ되고 있잖아?"
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-09 03:11:00,sj****,"@야간비행 쩝쩝이 같은 등신은
진짜 안된다
내성적 성격에다 영어 한마디 못해
해외 나가면 늘 찬법 신세"
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-08 22:18:00,hijoker****,상기레기 새끼가 냄새내는 쓰레기를 배출했군. 이것도 기사인가?
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-08 21:47:00,비행운,"야이 ㅆ ㅂ 국민들은 다 주거가는데 무신 씬나락까묵는 소리고???
너그 정치하는 인간들 꼭 민초들의 피눈물을 뒤집어쓴데이 ㅎㅎㅎㅎ"
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-08 19:29:00,보헤미안,차기 대통령은 이재명이여야 한다에 한표~
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-08 18:03:00,do****,전과 14 범 이엇던가~~ 맹바기가~? 전과 4범 을 지지 하는 사람들은 ? ~~~ 인간성 도덕성 은 제로 라고 바두 되냐~~~~~!! 대통령 에게 필요한 덕목이 언제 부터 전과 많은 순서로 되 버린거냐~~~!! 인간성 상실의 시대에 살고 있다~~~~~!!
"송영길 당대표 체제, 이재명에게 유리할까",2021-05-08 17:15:00,2021-05-08 17:54:00,종남우파,"누가 또 기사로 장난질 치려나... 했더니, 정용인! ㅋㅋㅋ
혹시나... 했는데...
역시나! ㅋㅋ
송영길이 이재명에게 유리해? ㅋㅋㅋ
갖다 붙이는기는 ....
그나저나 대한 기레기(회사)들은 좋겠다..
내년에 정권 바뀔 가능성 95% 아냐? ㅋㅋㅋ
이낙연이나 정세균, 아니면 ... 박용진?... ㅋㅋㅋ 이 사람들 후보로 나오면, 정권 교체 된 거나 마찬가지잖아?
이 사람들이나 구킴당이나 뭐가 달라? 안 그래? ㅋㅋㅋ"
이재명 지지모임 ‘민주평화광장’ 출범…발기인만 1만5000명,2021-05-12 21:06:00,2021-05-13 06:41:00,Moonga뻑,"출정식에 꽃다발 든 김부선 여사님도 초대를 혔어야제
한때 친밀허구 달콤허구 그런 사이 아니었나
옆에 같이 누워 있었던..."
